,Time,Observed rainfall - 01/08/2022 00:00,Urban net rain mm (Observed rainfall - 01/08/2022) - urbanised model,Rural net rain mm (Observed rainfall - 01/08/2022) - urbanised model,Sewer loss m3/s (Observed rainfall - 01/08/2022) - urbanised model,Total net rain mm (Observed rainfall - 01/08/2022) - urbanised model,Direct runoff m3/s (Observed rainfall - 01/08/2022) - urbanised model,Baseflow m3/s (Observed rainfall - 01/08/2022) - urbanised model,Total flow m3/s (Observed rainfall - 01/08/2022)- urbanised model
136,01/08/2022 02:16,0.0320323750926667,0.0024998909607035,0.0034227414430509,0,0.0059226324037545,0.138217365120178,0.14526435618389,0.283481721304068
137,01/08/2022 02:17,0.0320323750926667,0.0025002772856274,0.0034247969607523,0,0.0059250742463798,0.140156600785834,0.145310863811009,0.285467464596842
138,01/08/2022 02:18,0.0320323750926667,0.0025006636105512,0.0034268524784537,0,0.005927516089005,0.142108665536926,0.145358691528592,0.287467357065519
139,01/08/2022 02:19,0.0320323750926667,0.0025010499354751,0.0034289079961551,0,0.0059299579316302,0.144073563844708,0.145407847890585,0.289481411735292
140,01/08/2022 02:20,0.0320323750926667,0.002501436260399,0.0034309635138565,0,0.0059323997742555,0.146051300180428,0.145458341453482,0.291509641633911
141,01/08/2022 02:21,0.0320323750926667,0.0025018225853228,0.0034330190315578,0,0.0059348416168807,0.148041879015339,0.145510180776333,0.293552059791672
142,01/08/2022 02:22,0.0320323750926667,0.0025022089102467,0.0034350745492592,0,0.005937283459506,0.150045304820691,0.145563374420734,0.295608679241425
143,01/08/2022 02:23,0.0320323750926667,0.0025025952351706,0.0034371300669606,0,0.0059397253021312,0.152061582067736,0.145617930950833,0.297679513018569
144,01/08/2022 02:24,0.0320323750926667,0.0025029815600944,0.003439185584662,0,0.0059421671447564,0.154090715227723,0.145673858933325,0.299764574161049
145,01/08/2022 02:25,0.0320323750926667,0.0025033678850183,0.0034412411023634,0,0.0059446089873817,0.156132708771905,0.145731166937455,0.30186387570936
146,01/08/2022 02:26,0.0320323750926667,0.0025037542099421,0.0034432966200647,0,0.0059470508300069,0.158187567171532,0.145789863535013,0.303977430706545
