Time,100 year design rainfall - FEH 2013 model,Urban net rain mm (100 year) - as 100% rural model,Rural net rain mm (100 year) - as 100% rural model,Sewer loss m3/s (100 year) - as 100% rural model,Total net rain mm (100 year) - as 100% rural model,Direct runoff m3/s (100 year) - as 100% rural model,Baseflow m3/s (100 year) - as 100% rural model,Total flow m3/s (100 year) - as 100% rural model
02:38:00,0.336329163453965,0,0.0770322148947742,0,0.0770322148947742,0.298985775169125,0.319694934052047,0.618680709221172
02:39:00,0.345355447242059,0,0.079396943443351,0,0.079396943443351,0.305213745592514,0.319879145839286,0.625092891431799
02:40:00,0.354605949213661,0,0.0818371428973918,0,0.0818371428973918,0.311569242096395,0.320069347774465,0.63163858987086
02:41:00,0.364085793036672,0,0.0843554443150315,0,0.0843554443150315,0.318056181812599,0.320265662404064,0.638321844216664
02:42:00,0.373800209308006,0,0.0869545809017584,0,0.0869545809017584,0.324678607070498,0.320468216061527,0.645146823132025
02:43:00,0.383754537574083,0,0.0896373923049219,0,0.0896373923049219,0.331440689770124,0.320677138988521,0.652117828758645
02:44:00,0.393954228385525,0,0.09240682909443,0,0.09240682909443,0.338346735925341,0.320892565460442,0.659239301385783
02:45:00,0.40440484538657,0,0.09526595743764,0,0.09526595743764,0.345401190384216,0.321114633916338,0.666515824300553
02:46:00,0.418279480093322,0,0.0989690659403779,0,0.0989690659403779,0.352608641734052,0.32134348709341,0.673952128827462
02:47:00,0.433790456312661,0,0.103105985833532,0,0.103105985833532,0.359974439721365,0.321579272460769,0.681553712182133
02:48:00,0.449845658470656,0,0.107424169974071,0,0.107424169974071,0.367504975789428,0.321822143084868,0.689327118874296
02:49:00,0.466463099276315,0,0.111932335290447,0,0.111932335290447,0.375207142810959,0.322072258369721,0.69727940118068
02:50:00,0.483661351936507,0,0.1166396687303,0,0.1166396687303,0.383088136309882,0.322329784441468,0.70541792075135
02:51:00,0.501459566490727,0,0.121555855082711,0,0.121555855082711,0.391155469057146,0.322594894444257,0.713750363501403
02:52:00,0.519877486589788,0,0.126691106530807,0,0.126691106530807,0.399416986455568,0.322867768850435,0.722284755306003
