lamp_type_lupvalue,lamp_rating_w,Latitude,Longitude
1.0,,-37.81918674,144.9470373
13.0,70.0,-37.81413755,144.9426669
,,-37.81961936,144.9651513
,35.0,-37.81853682,144.973866
2.0,14.0,-37.82294439,144.9516647
9.0,,-37.78687025,144.9417455
9.0,,-37.81820382,144.9735524
9.0,,-37.82274019,144.9468047
5.0,35.0,-37.81723911,144.9454494
1.0,50.0,-37.824988,144.9471013
13.0,35.0,-37.82318764,144.9473017
12.0,,-37.8238516,144.9473864
13.0,70.0,-37.81404962,144.9425345
12.0,,-37.82291613,144.9471333
13.0,70.0,-37.81985877,144.9510409
13.0,14.0,-37.81927152,144.9651481
9.0,,-37.78691355,144.9416672
13.0,70.0,-37.82439769,144.9459355
9.0,,-37.81854546,144.973854
5.0,70.0,-37.81530868,144.9452588
13.0,150.0,-37.82178221,144.9691168
13.0,70.0,-37.8240565,144.9481834
1.0,,-37.82124521,144.932224
9.0,,-37.8150022,144.9412475
,,-37.81954779,144.9651657
,,-37.82421464,144.9521279
9.0,,-37.78706509,144.9413934
9.0,,-37.81480015,144.9421493
9.0,,-37.815198,144.9442779
,,-37.81856931,144.9442856
9.0,,-37.814693,144.9423608
5.0,70.0,-37.81534227,144.9451232
1.0,,-37.81487672,144.9410574
,,-37.8197864,144.9651179
13.0,14.0,-37.82139242,144.9616022
9.0,,-37.81816817,144.9734498
1.0,20.0,-37.82390398,144.9474441
9.0,,-37.81519234,144.9410102
9.0,,-37.81482584,144.9419437
13.0,14.0,-37.81117194,144.9699064
9.0,,-37.8189658,144.9741684
3.0,,-37.81805638,144.9507406
5.0,70.0,-37.82342357,144.9430549
,,-37.81510765,144.9415643
9.0,,-37.82094007,144.964377
1.0,500.0,-37.81683736,144.9434621
9.0,,-37.81927054,144.974499
,70.0,-37.81990097,144.966674
9.0,,-37.82262327,144.9463552
12.0,,-37.82395143,144.9473174
1.0,,-37.81735129,144.9525384
3.0,36.0,-37.81762514,144.9488934
1.0,,-37.82106551,144.9544604
1.0,,-37.8176557,144.9510888
13.0,14.0,-37.81635599,144.9671128
1.0,,-37.82479723,144.9473396
5.0,70.0,-37.81404961,144.9425345
,,-37.82019782,144.944845
,,-37.82381967,144.9521246
9.0,200.0,-37.82056815,144.9592355
5.0,70.0,-37.81864696,144.9460319
13.0,35.0,-37.82389756,144.9472949
10.0,14.0,-37.82464565,144.9455095
9.0,,-37.81919292,144.9434807
13.0,14.0,-37.8163793,144.967141
13.0,35.0,-37.8229112,144.9471122
3.0,14.0,-37.82388887,144.9436316
13.0,14.0,-37.81177056,144.9678518
9.0,,-37.82270804,144.9463667
3.0,36.0,-37.81792232,144.9504886
9.0,,-37.81471031,144.9423717
13.0,100.0,-37.8194993,144.9610403
9.0,,-37.81427133,144.9433971
3.0,36.0,-37.81755525,144.9496062
9.0,,-37.8142788,144.943211
,,-37.81839938,144.9447528
13.0,150.0,-37.82149081,144.9696233
3.0,,-37.81838436,144.9448571
13.0,70.0,-37.82471665,144.9467849
9.0,,-37.80981574,144.9734965
5.0,150.0,-37.81779747,144.9490015
,,-37.81511098,144.9416472
13.0,70.0,-37.82403945,144.9480429
13.0,14.0,-37.81087421,144.967306
,,-37.81879429,144.9429451
,125.0,-37.82036561,144.9641389
13.0,14.0,-37.81553385,144.9670967
3.0,14.0,-37.81124928,144.9693485
9.0,,-37.81468768,144.9417365
9.0,,-37.81805744,144.9456753
13.0,14.0,-37.81091871,144.9672617
13.0,70.0,-37.81816271,144.9450914
9.0,,-37.81971329,144.9677633
13.0,35.0,-37.823838,144.9471701
13.0,35.0,-37.81868673,144.9722949
3.0,36.0,-37.81773413,144.9496475
13.0,35.0,-37.82300079,144.9472487
9.0,,-37.81125678,144.9665016
3.0,18.0,-37.82249971,144.9508236
3.0,36.0,-37.81776552,144.9493334
2.0,14.0,-37.82276112,144.9516472
9.0,25.0,-37.81477665,144.9419804
9.0,,-37.82241992,144.9454007
13.0,70.0,-37.81844847,144.9443427
9.0,3.0,-37.81222577,144.9663606
9.0,,-37.82243832,144.9454035
