Cluster,Dur_bins,Variable,Mean,Duration,Profile_shape,Cluster_id
10,0.791666667,irain,0.449780339,[19:25 - Inf) hr,F2,10-D
10,0.916666667,crain,0.967734982,[19:25 - Inf) hr,F2,10-D
10,0.875,prain,0.02823568,[19:25 - Inf) hr,F2,10-D
10,0.875,irain,0.338828156,[19:25 - Inf) hr,F2,10-D
10,1,crain,1,[19:25 - Inf) hr,F2,10-D
10,0.958333333,prain,0.032265018,[19:25 - Inf) hr,F2,10-D
10,0.958333333,irain,0.387180215,[19:25 - Inf) hr,F2,10-D
11,0.083333333,crain,0.032578657,[19:25 - Inf) hr,C,11-D
11,0.041666667,prain,0.032578657,[19:25 - Inf) hr,C,11-D
11,0.041666667,irain,0.390943888,[19:25 - Inf) hr,C,11-D
11,0.166666667,crain,0.069257047,[19:25 - Inf) hr,C,11-D
11,0.125,prain,0.03667839,[19:25 - Inf) hr,C,11-D
11,0.125,irain,0.440140677,[19:25 - Inf) hr,C,11-D
11,0.25,crain,0.108645871,[19:25 - Inf) hr,C,11-D
11,0.208333333,prain,0.039388824,[19:25 - Inf) hr,C,11-D
11,0.208333333,irain,0.472665892,[19:25 - Inf) hr,C,11-D
11,0.333333333,crain,0.165147414,[19:25 - Inf) hr,C,11-D
11,0.291666667,prain,0.056501542,[19:25 - Inf) hr,C,11-D
11,0.291666667,irain,0.678018509,[19:25 - Inf) hr,C,11-D
11,0.416666667,crain,0.248423446,[19:25 - Inf) hr,C,11-D
11,0.375,prain,0.083276032,[19:25 - Inf) hr,C,11-D
11,0.375,irain,0.999312389,[19:25 - Inf) hr,C,11-D
11,0.5,crain,0.384656359,[19:25 - Inf) hr,C,11-D
11,0.458333333,prain,0.136232913,[19:25 - Inf) hr,C,11-D
11,0.458333333,irain,1.634794959,[19:25 - Inf) hr,C,11-D
11,0.583333333,crain,0.55065272,[19:25 - Inf) hr,C,11-D
11,0.541666667,prain,0.16599636,[19:25 - Inf) hr,C,11-D
11,0.541666667,irain,1.991956325,[19:25 - Inf) hr,C,11-D
11,0.666666667,crain,0.675340381,[19:25 - Inf) hr,C,11-D
11,0.625,prain,0.124687661,[19:25 - Inf) hr,C,11-D
11,0.625,irain,1.496251932,[19:25 - Inf) hr,C,11-D
